[Current] DELIVERY - Takes(s): 9.4, Count: 14, TPM: 89.5, Sum(ms): 5475.6, Avg(ms): 391.3, 50th(ms): 352.3, 90th(ms): 453.0, 95th(ms): 453.0, 99th(ms): 805.3, 99.9th(ms): 805.3, Max(ms): 805.3
[Current] NEW_ORDER - Takes(s): 9.9, Count: 209, TPM: 1268.3, Sum(ms): 16568.8, Avg(ms): 79.1, 50th(ms): 65.0, 90th(ms): 104.9, 95th(ms): 167.8, 99th(ms): 302.0, 99.9th(ms): 419.4, Max(ms): 419.4
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 9, TPM: 54.6, Sum(ms): 32.1, Avg(ms): 3.6, 50th(ms): 3.7, 90th(ms): 4.2, 95th(ms): 5.2, 99th(ms): 5.2, 99.9th(ms): 5.2, Max(ms): 5.2
[Current] PAYMENT - Takes(s): 9.9, Count: 220, TPM: 1333.1, Sum(ms): 17559.7, Avg(ms): 79.8, 50th(ms): 71.3, 90th(ms): 104.9, 95th(ms): 130.0, 99th(ms): 318.8, 99.9th(ms): 402.7, Max(ms): 402.7
[Current] STOCK_LEVEL - Takes(s): 8.5, Count: 25, TPM: 176.3, Sum(ms): 165.4, Avg(ms): 6.6, 50th(ms): 4.2, 90th(ms): 13.6, 95th(ms): 19.9, 99th(ms): 23.1, 99.9th(ms): 23.1, Max(ms): 23.1
[Current] DELIVERY - Takes(s): 9.3, Count: 17, TPM: 109.7, Sum(ms): 6362.7, Avg(ms): 372.6, 50th(ms): 352.3, 90th(ms): 486.5, 95th(ms): 503.3, 99th(ms): 503.3, 99.9th(ms): 503.3, Max(ms): 503.3
[Current] NEW_ORDER - Takes(s): 9.9, Count: 219, TPM: 1325.3, Sum(ms): 17235.3, Avg(ms): 78.8, 50th(ms): 65.0, 90th(ms): 130.0, 95th(ms): 167.8, 99th(ms): 268.4, 99.9th(ms): 369.1, Max(ms): 369.1
[Current] ORDER_STATUS - Takes(s): 9.1, Count: 22, TPM: 144.4, Sum(ms): 64.7, Avg(ms): 3.0, 50th(ms): 3.1, 90th(ms): 3.7, 95th(ms): 4.2, 99th(ms): 4.2, 99.9th(ms): 4.2, Max(ms): 4.2
[Current] PAYMENT - Takes(s): 10.0, Count: 188, TPM: 1130.1, Sum(ms): 16137.3, Avg(ms): 85.9, 50th(ms): 71.3, 90th(ms): 142.6, 95th(ms): 201.3, 99th(ms): 218.1, 99.9th(ms): 385.9, Max(ms): 385.9
[Current] STOCK_LEVEL - Takes(s): 8.3, Count: 18, TPM: 130.5, Sum(ms): 64.0, Avg(ms): 3.6, 50th(ms): 3.7, 90th(ms): 4.2, 95th(ms): 4.2, 99th(ms): 7.9, 99.9th(ms): 7.9, Max(ms): 7.9
[Current] DELIVERY - Takes(s): 9.8, Count: 20, TPM: 122.2, Sum(ms): 8619.4, Avg(ms): 431.2, 50th(ms): 352.3, 90th(ms): 637.5, 95th(ms): 671.1, 99th(ms): 671.1, 99.9th(ms): 671.1, Max(ms): 671.1
[Current] NEW_ORDER - Takes(s): 10.0, Count: 192, TPM: 1154.4, Sum(ms): 15164.1, Avg(ms): 79.0, 50th(ms): 65.0, 90th(ms): 109.1, 95th(ms): 176.2, 99th(ms): 302.0, 99.9th(ms): 385.9, Max(ms): 385.9
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 16, TPM: 96.2, Sum(ms): 46.8, Avg(ms): 2.9, 50th(ms): 3.1, 90th(ms): 3.7, 95th(ms): 4.2, 99th(ms): 4.7, 99.9th(ms): 4.7, Max(ms): 4.7
[Current] PAYMENT - Takes(s): 9.9, Count: 199, TPM: 1200.1, Sum(ms): 16150.7, Avg(ms): 81.2, 50th(ms): 71.3, 90th(ms): 125.8, 95th(ms): 159.4, 99th(ms): 226.5, 99.9th(ms): 385.9, Max(ms): 385.9
[Current] STOCK_LEVEL - Takes(s): 9.8, Count: 18, TPM: 110.1, Sum(ms): 74.9, Avg(ms): 4.2, 50th(ms): 3.7, 90th(ms): 6.8, 95th(ms): 8.4, 99th(ms): 8.9, 99.9th(ms): 8.9, Max(ms): 8.9
[Current] DELIVERY - Takes(s): 9.6, Count: 20, TPM: 124.5, Sum(ms): 8383.6, Avg(ms): 418.6, 50th(ms): 352.3, 90th(ms): 570.4, 95th(ms): 704.6, 99th(ms): 838.9, 99.9th(ms): 838.9, Max(ms): 838.9
[Current] NEW_ORDER - Takes(s): 10.0, Count: 209, TPM: 1256.2, Sum(ms): 16754.7, Avg(ms): 80.3, 50th(ms): 65.0, 90th(ms): 96.5, 95th(ms): 201.3, 99th(ms): 369.1, 99.9th(ms): 436.2, Max(ms): 436.2
[Current] ORDER_STATUS - Takes(s): 9.3, Count: 15, TPM: 96.9, Sum(ms): 41.3, Avg(ms): 2.8, 50th(ms): 3.1, 90th(ms): 4.2, 95th(ms): 4.2, 99th(ms): 4.2, 99.9th(ms): 4.2, Max(ms): 4.2
[Current] PAYMENT - Takes(s): 10.0, Count: 171, TPM: 1029.8, Sum(ms): 14595.7, Avg(ms): 85.4, 50th(ms): 71.3, 90th(ms): 134.2, 95th(ms): 184.5, 99th(ms): 251.7, 99.9th(ms): 536.9, Max(ms): 536.9
[Current] STOCK_LEVEL - Takes(s): 9.5, Count: 15, TPM: 95.0, Sum(ms): 61.1, Avg(ms): 4.1, 50th(ms): 3.7, 90th(ms): 6.8, 95th(ms): 6.8, 99th(ms): 7.3, 99.9th(ms): 7.3, Max(ms): 7.3
[Current] DELIVERY - Takes(s): 9.4, Count: 14, TPM: 88.9, Sum(ms): 6004.3, Avg(ms): 427.8, 50th(ms): 385.9, 90th(ms): 604.0, 95th(ms): 604.0, 99th(ms): 704.6, 99.9th(ms): 704.6, Max(ms): 704.6
